usuario,perfilLink,textoComentario,timestamp,dataFormatada,tempoExibido,likes,id_comentario,texto_limpo,n_palavras,categorias,n_categorias,categoria_principal,sent_score,sent_polaridade,sent_intensidade,sent_n_palavras
calorinalinda,calorinalinda,Ficar com todas as tarefas da casa pq eles trabalhavam.,2023-01-31T12:58:40Z,"Jan 31, 2023",119w,1,11,Ficar com todas as tarefas da casa pq eles trabalhavam.,10,,1,diferenciacao_domestica,0,neutro,0,0
julianatmiranda,julianatmiranda,"Minha mãe arrumou a cama do meu irmão até os 35 anos, pasmem",2023-01-31T00:17:30Z,"Jan 30, 2023",119w,2,12,"Minha mãe arrumou a cama do meu irmão até os 35 anos, pasmem",13,,0,sem_categoria,0,neutro,0,0
monicasolua,monicasolua,"Sou a mais nova de 8 irmãos: somos 5 homens e 3 mulheres. Apesar de, até o dia que meu pai morreu minha mãe colocou o prato dele e viveu as várias situações do machismo dentro de casa, em relação às tarefas domésticas, minha mãe sempre teve o cuidado das meninas não viverem para servir os meninos. Foi tanto cuidado que eu e minhas duas irmãs temos menos habilidades domésticas desenvolvidas do que os meus 5 irmãos homens.Eles sabem cozinhar, nós não. Eles são mais atentos às suas casas, eu e as meninas, não. Achei interessante, pois, minha mãe foi muito atenta sobre a desigualdade de gênero e tentou proteger as meninas nesse sentido. Apesar dele ter hoje 79 anos, atuou diferente do esperado para uma mulher da sua época. Mas isso é uma excessão, sei disso.",2023-01-30T12:37:30Z,"Jan 30, 2023",119w,0,13,"Sou a mais nova de 8 irmãos: somos 5 homens e 3 mulheres. Apesar de, até o dia que meu pai morreu minha mãe colocou o prato dele e viveu as várias situações do machismo dentro de casa, em relação às tarefas domésticas, minha mãe sempre teve o cuidado das meninas não viverem para servir os meninos. Foi tanto cuidado que eu e minhas duas irmãs temos menos habilidades domésticas desenvolvidas do que os meus 5 irmãos homens.Eles sabem cozinhar, nós não. Eles são mais atentos às suas casas, eu e as meninas, não. Achei interessante, pois, minha mãe foi muito atenta sobre a desigualdade de gênero e tentou proteger as meninas nesse sentido. Apesar dele ter hoje 79 anos, atuou diferente do esperado para uma mulher da sua época. Mas isso é uma excessão, sei disso.",137,,3,diferenciacao_domestica,-0.5,negativo,0.5,2
gimenezesoliver,gimenezesoliver,"Eu sei que muitas mulheres sofrem isso, mas graças a Deus eu tive irmãos maravilhosos, sempre fizeram de tudo por mim e me tratavam muito bem e é assim até hoje. Meus pais dividiam as tarefas e eles sempre ajudaram em casa sem achar que tal tarefa é de “mulher” ou de “homem”… há muito respeito entre nós até hoje. E eles são seres humanos incríveis! E vendo outros relatos, agradeço à Deus por ter tido uma família assim. 🙏",2023-01-28T13:50:49Z,"Jan 28, 2023",120w,1,14,"Eu sei que muitas mulheres sofrem isso, mas graças a Deus eu tive irmãos maravilhosos, sempre fizeram de tudo por mim e me tratavam muito bem e é assim até hoje. Meus pais dividiam as tarefas e eles sempre ajudaram em casa sem achar que tal tarefa é de “mulher” ou de “homem”… há muito respeito entre nós até hoje. E eles são seres humanos incríveis! E vendo outros relatos, agradeço à Deus por ter tido uma família assim. 🙏",80,,1,diferenciacao_domestica,0,neutro,0,0
vanessacardozopesquisa,vanessacardozopesquisa,"Em qualquer conflito c/ o meu irmão,minha mãe me implorava para ceder pelo bem da família.",2023-01-28T11:42:30Z,"Jan 28, 2023",120w,4,15,"Em qualquer conflito c/ o meu irmão,minha mãe me implorava para ceder pelo bem da família.",16,,0,sem_categoria,0,neutro,0,0
anamarcelall,anamarcelall,"Tive a sorte (sei que um pouco rara) de ter crescido entre dois irmãos e sempre ter sido validada por eles, que sempre me respeitaram e escutaram bastante até hoje todos adultos 😍",2023-01-22T15:13:11Z,"Jan 22, 2023",121w,0,16,"Tive a sorte (sei que um pouco rara) de ter crescido entre dois irmãos e sempre ter sido validada por eles, que sempre me respeitaram e escutaram bastante até hoje todos adultos 😍",33,,0,sem_categoria,0,neutro,0,0
iedaalmeidalmeida,iedaalmeidalmeida,"Cresci com meu irmão 4 anos mais novo que eu, na minha casa existia sim um “ machismo” meio que invisível, aquele que só minha mãe lavava passava e cozinhava, e meu naquele pape de provedor. Porém meu pai nunca me tratou com imposições machistas, entre eu e meu irmão não tinha brinquedos de menino e de menina, eu podia brincar na rua, jogar bola e etc… Inclusive ele começou a me ensinar a dirigir eu tinha 14 anos, andava com ele pra cima e p baixo. Já minha mãe, me obrigava a fazer os serviços da casa porque eu era menina, eu ficava brava porque meu irmão na fazia nada. Porém, entendo que essa foi a configuração na qual eles foram criados, mas eu nunca me senti minimizada nem prejudicada. Fui mãe aos 17 anos, fui muito bem acolhida na minha casa, fui sempre incentivada a trabalhar, estudar e ser independente e livre com minhas escolhas. Sou muito grata pela forma que fui criada, acredito que todos os erros que cometeram forma sempre na intenção de acertar. Me sinto privilegiada e não posso responsabiliza-lós por nenhum “trauma” graças a Deus!!!",2023-01-21T03:01:04Z,"Jan 21, 2023",121w,0,17,"Cresci com meu irmão 4 anos mais novo que eu, na minha casa existia sim um “ machismo” meio que invisível, aquele que só minha mãe lavava passava e cozinhava, e meu naquele pape de provedor. Porém meu pai nunca me tratou com imposições machistas, entre eu e meu irmão não tinha brinquedos de menino e de menina, eu podia brincar na rua, jogar bola e etc… Inclusive ele começou a me ensinar a dirigir eu tinha 14 anos, andava com ele pra cima e p baixo. Já minha mãe, me obrigava a fazer os serviços da casa porque eu era menina, eu ficava brava porque meu irmão na fazia nada. Porém, entendo que essa foi a configuração na qual eles foram criados, mas eu nunca me senti minimizada nem prejudicada. Fui mãe aos 17 anos, fui muito bem acolhida na minha casa, fui sempre incentivada a trabalhar, estudar e ser independente e livre com minhas escolhas. Sou muito grata pela forma que fui criada, acredito que todos os erros que cometeram forma sempre na intenção de acertar. Me sinto privilegiada e não posso responsabiliza-lós por nenhum “trauma” graças a Deus!!!",191,,4,diferenciacao_domestica,0.3,positivo,0.3,5
cairesjeffersonaguiar,cairesjeffersonaguiar,"Poxa, não vi machismo nos comentários, agora mulheres reclamando que as mães pedem pra elas fazerem tarefas domésticas e cuidando dos mais novos... isso é absolutamente normal... na minha casa a minha irmã foi a única que a minha mãe pagou escola particular, vejo as mulheres como privilegiadas, agora reclamar de tarefas domésticas não é na",2023-01-21T02:28:04Z,"Jan 20, 2023",121w,0,18,"Poxa, não vi machismo nos comentários, agora mulheres reclamando que as mães pedem pra elas fazerem tarefas domésticas e cuidando dos mais novos... isso é absolutamente normal... na minha casa a minha irmã foi a única que a minha mãe pagou escola particular, vejo as mulheres como privilegiadas, agora reclamar de tarefas domésticas não é na",56,,3,diferenciacao_domestica,-0.5,negativo,0.5,1
glaucienedossantoss,glaucienedossantoss,"Eu tenho dois irmãos, e desde que trabalho sempre meu irmão do meio quis controlar meu dinheiro, eu procuro não depender dos meus pais, mas de vez enquanto quando as coisas apertam eu peço ajuda, muitas das vezes não sou ajudada pq meus irmãos sempre estão devendo e demoram a pagar, e eu acabo que fico para depois, muitas das vezes a resposta de meu pai é um incentivo para conseguir sozinha as coisas, detalhe, construi uma casa nos fundos da casa dos meus pais que onde morei no primeiro casamento, depois logo consegui meu apartamento, maS no apartamento me sinto presa e sempre peço para voltar p casa e alugar aqui para da p meu pai, meu irmão se intromete, descobri que ele recebe esse aluguel, e muita das vezes não repassa para meu pai. Meus parentes sempre comentam se eu recebo esse aluguel, eu digo que não e não é justo pegar, não é minha a casa apenas construi para não pagar aluguel ma epoca.",2023-01-20T01:49:04Z,"Jan 19, 2023",121w,0,19,"Eu tenho dois irmãos, e desde que trabalho sempre meu irmão do meio quis controlar meu dinheiro, eu procuro não depender dos meus pais, mas de vez enquanto quando as coisas apertam eu peço ajuda, muitas das vezes não sou ajudada pq meus irmãos sempre estão devendo e demoram a pagar, e eu acabo que fico para depois, muitas das vezes a resposta de meu pai é um incentivo para conseguir sozinha as coisas, detalhe, construi uma casa nos fundos da casa dos meus pais que onde morei no primeiro casamento, depois logo consegui meu apartamento, maS no apartamento me sinto presa e sempre peço para voltar p casa e alugar aqui para da p meu pai, meu irmão se intromete, descobri que ele recebe esse aluguel, e muita das vezes não repassa para meu pai. Meus parentes sempre comentam se eu recebo esse aluguel, eu digo que não e não é justo pegar, não é minha a casa apenas construi para não pagar aluguel ma epoca.",167,,3,diferenciacao_domestica,0,neutro,0,0
katcaxaria,katcaxaria,"Não tenho irmãos. Mas os meus verões eram passados na quinta dos avós , com 5 primos. Dado ser a única rapariga, a minha avó achava normal que eu tinha a responsabilidade de ajudar na cozinha. Então os meus primos podiam estar na rua a brincar e eu tinha que ficar a lavar a louça após o almoço. Não me lembro de eles terem alguma vez ajudado.",2023-01-18T23:08:33Z,"Jan 18, 2023",121w,0,20,"Não tenho irmãos. Mas os meus verões eram passados na quinta dos avós , com 5 primos. Dado ser a única rapariga, a minha avó achava normal que eu tinha a responsabilidade de ajudar na cozinha. Então os meus primos podiam estar na rua a brincar e eu tinha que ficar a lavar a louça após o almoço. Não me lembro de eles terem alguma vez ajudado.",67,,1,diferenciacao_domestica,0,neutro,0,0
patypsm67,patypsm67,Eu tinha que fazer com minha irmã mais nova as tarefas da escola dela. Mas quando ela não queria eu apanhava ou recebia outro tipo de agressão. Só hoje com a terapia eu entendi que minha mãe me delegou função dela.,2023-01-18T14:39:07Z,"Jan 18, 2023",121w,1,21,Eu tinha que fazer com minha irmã mais nova as tarefas da escola dela. Mas quando ela não queria eu apanhava ou recebia outro tipo de agressão. Só hoje com a terapia eu entendi que minha mãe me delegou função dela.,41,,1,diferenciacao_educacional,0,neutro,0,0
gabymartins0209,gabymartins0209,"""Você é a moça da casa"" eu limpava e meus irmãos sujavam,e ainda falava q era só eu limpar de novo... Sofri demais,hj não tenho prazer em cuidar nem da minha casa,",2023-01-18T10:12:54Z,"Jan 18, 2023",121w,1,22,"""Você é a moça da casa"" eu limpava e meus irmãos sujavam,e ainda falava q era só eu limpar de novo... Sofri demais,hj não tenho prazer em cuidar nem da minha casa,",32,,1,diferenciacao_domestica,0,neutro,0,0
coutinho_re,coutinho_re,"Eu irmão podia chegar a hora da noite que quisesse, eu sempre tinha que chegar cedo. Meus pais alegaram só ter dinheiro para investir na educação do meu irmão, se eu quisesse fazer curso técnico ou faculdade eu teria que esperar ele se formar primeiro. A educação dele era prioridade, a minha era apenas se sobrasse dinheiro. Meu irmão podia tudo, falar palavrão, eu não, dormir fora de casa, eu não, ele podia escolher ser irresponsável, eu não podia nunca. Etc… etc.. etc…",2023-01-18T05:49:10Z,"Jan 18, 2023",121w,1,23,"Eu irmão podia chegar a hora da noite que quisesse, eu sempre tinha que chegar cedo. Meus pais alegaram só ter dinheiro para investir na educação do meu irmão, se eu quisesse fazer curso técnico ou faculdade eu teria que esperar ele se formar primeiro. A educação dele era prioridade, a minha era apenas se sobrasse dinheiro. Meu irmão podia tudo, falar palavrão, eu não, dormir fora de casa, eu não, ele podia escolher ser irresponsável, eu não podia nunca. Etc… etc.. etc…",83,,4,diferenciacao_domestica,0,neutro,0,0
ayresbre_,ayresbre_,"Eu passei por coisas parecidas, mas para ser sincera eu gosto de arrumar e cuidar da casa desde pequena. Eu não gosto quando outra pessoa limpa, não acho que tá bem feito e que somente eu sei. Meus irmãos tentavam ajudar, mas só de olhar como seguravam a vassoura errada eu t",2023-01-18T03:07:42Z,"Jan 18, 2023",121w,0,24,"Eu passei por coisas parecidas, mas para ser sincera eu gosto de arrumar e cuidar da casa desde pequena. Eu não gosto quando outra pessoa limpa, não acho que tá bem feito e que somente eu sei. Meus irmãos tentavam ajudar, mas só de olhar como seguravam a vassoura errada eu t",52,,1,diferenciacao_domestica,0,neutro,0,0
giu_cardosopereira_,giu_cardosopereira_,"Uai, mas vc tinha irmão homem?",2023-01-18T02:42:06Z,"Jan 17, 2023",121w,0,25,"Uai, mas vc tinha irmão homem?",6,,0,sem_categoria,0,neutro,0,0
giu_cardosopereira_,giu_cardosopereira_,"*A mesada do meu irmão era maior que a minha.*Ele podia trazer namoradas pra casa e inclusive trazer pra dormir em casa, eu não. *brincadeiras de lutinha, só com ele.",2023-01-18T02:41:01Z,"Jan 17, 2023",121w,0,26,"*A mesada do meu irmão era maior que a minha.*Ele podia trazer namoradas pra casa e inclusive trazer pra dormir em casa, eu não. *brincadeiras de lutinha, só com ele.",30,,2,diferenciacao_domestica,0,neutro,0,0
julianabischoff04,julianabischoff04,"Com 10 anos tive que assumir a lavagem da louça e dos bainheiros. Nessa mesma época meu irmão foi tirado de fazer qualquer serviço doméstico, pq esse era trabalho de mulher. Com o passar dos anos só foi aumentando as responsabilidades doméstica pra mim, e meu irmão na folga. Até que com 14 a os meu irmã entro para um trabalho ( tipo o jovem aprendiz de hoje em dia). Adivinha quem que tinha que passa as camisas sociais dele… nessa altura do campeonato e com 12 de idade, eu tinha, ajudar a preparar o almoço, depois lavar, secar e guardar a louça, organizar a cozinha, limpar fogão, auxiliar na limpeza da casa, passar toda roupa da casa e ainda de brinde as camisas sociais do meu irmão. Que ficava de boa… com todos os privilégios de ter 2 mulheres fazendo todo esse serviço pra ele. Eu nunca ache justo essa desigualdade, reclamava com a minha mãe, e ainda era eu que estava errada.Quando chegou a minha vez de trabalhar fora, eu estava com 15 anos, eu era responsável por toda a faxina da casa, e por passar toda a roupa também, e cozinhar também. Sempre indignada, magoada, triste com esse machismo estrutural. Até hoje tenho raiva dessa injustiça que forçada a passa. Não hou conversa, simplesmente imposição=vc é mulher tem que fazer serviço de mulhe.",2023-01-18T02:40:24Z,"Jan 17, 2023",121w,0,27,"Com 10 anos tive que assumir a lavagem da louça e dos bainheiros. Nessa mesma época meu irmão foi tirado de fazer qualquer serviço doméstico, pq esse era trabalho de mulher. Com o passar dos anos só foi aumentando as responsabilidades doméstica pra mim, e meu irmão na folga. Até que com 14 a os meu irmã entro para um trabalho ( tipo o jovem aprendiz de hoje em dia). Adivinha quem que tinha que passa as camisas sociais dele… nessa altura do campeonato e com 12 de idade, eu tinha, ajudar a preparar o almoço, depois lavar, secar e guardar a louça, organizar a cozinha, limpar fogão, auxiliar na limpeza da casa, passar toda roupa da casa e ainda de brinde as camisas sociais do meu irmão. Que ficava de boa… com todos os privilégios de ter 2 mulheres fazendo todo esse serviço pra ele. Eu nunca ache justo essa desigualdade, reclamava com a minha mãe, e ainda era eu que estava errada.Quando chegou a minha vez de trabalhar fora, eu estava com 15 anos, eu era responsável por toda a faxina da casa, e por passar toda a roupa também, e cozinhar também. Sempre indignada, magoada, triste com esse machismo estrutural. Até hoje tenho raiva dessa injustiça que forçada a passa. Não hou conversa, simplesmente imposição=vc é mulher tem que fazer serviço de mulhe.",226,,3,diferenciacao_domestica,-0.9,negativo,0.9,5
ingryd_ferr25,ingryd_ferr25,"Já eu única filha no meio de três meninos, éramos bem pequenos e meus pais deixava-nos em casa sozinhos, meu irmão mais velho na época tinha 10 anos, e tínhamos que nos se vira, mas a maior responsabilidade sempre era minha, eu tinha que dá conta da casa sozinha, esquenta o almoço para nós almoça, eu chegava quase sempre na escola atrasada, porque além de fazer tudo sozinha era a última toma banho pra ir pra escola e meus irmãos nem ao luxo de me espera pra irmos juntos a escola fazia, minha mãe como sempre passava a mão e não pedia pra mim les fazerem nada, uma mágoa que sempre tive é que eu chegava da escola e corria pra finaliza as tarefas de casa e meus irmãos sujava mais e quando meus pais chegavam me chamava de preguiçosa, durante anos fiquei com mágoa deles, porque até hoje eles não reconhecem meus esforços desde cedo. Hoje sou casada com um homem maravilhoso que graças a Deus minha sogra educou, me ajuda em absolutamente tudo em casa, sem eu fica pedindo, pelo ou menos nisso Deus foi generoso comigo, mas não é fácil conviver nesse modelo de família. Hoje tenho dó das minhas cunhadas.",2023-01-18T01:31:44Z,"Jan 17, 2023",121w,1,28,"Já eu única filha no meio de três meninos, éramos bem pequenos e meus pais deixava-nos em casa sozinhos, meu irmão mais velho na época tinha 10 anos, e tínhamos que nos se vira, mas a maior responsabilidade sempre era minha, eu tinha que dá conta da casa sozinha, esquenta o almoço para nós almoça, eu chegava quase sempre na escola atrasada, porque além de fazer tudo sozinha era a última toma banho pra ir pra escola e meus irmãos nem ao luxo de me espera pra irmos juntos a escola fazia, minha mãe como sempre passava a mão e não pedia pra mim les fazerem nada, uma mágoa que sempre tive é que eu chegava da escola e corria pra finaliza as tarefas de casa e meus irmãos sujava mais e quando meus pais chegavam me chamava de preguiçosa, durante anos fiquei com mágoa deles, porque até hoje eles não reconhecem meus esforços desde cedo. Hoje sou casada com um homem maravilhoso que graças a Deus minha sogra educou, me ajuda em absolutamente tudo em casa, sem eu fica pedindo, pelo ou menos nisso Deus foi generoso comigo, mas não é fácil conviver nesse modelo de família. Hoje tenho dó das minhas cunhadas.",204,,2,diferenciacao_domestica,0,neutro,0,0
crislaine.barboza,crislaine.barboza,"Eu sempre tive que fazer tarefas domésticas, sempre. Inclusive até arrumar a cama e armários do meu irmão. Sempre fui criticada quando bebia porque "" mulher que bebe não casa"". Trabalhava de dia, estudava a noite e tive várias discussões porque queria sair a noite, p uma balada ou barzinho. Nem de longe meu irmão recebeu tanta crítica. Ah, casamento não é sinônimo de felicidade/realização. E eu casei, e bebo umas ainda haha",2023-01-17T21:52:45Z,"Jan 17, 2023",121w,0,29,"Eu sempre tive que fazer tarefas domésticas, sempre. Inclusive até arrumar a cama e armários do meu irmão. Sempre fui criticada quando bebia porque "" mulher que bebe não casa"". Trabalhava de dia, estudava a noite e tive várias discussões porque queria sair a noite, p uma balada ou barzinho. Nem de longe meu irmão recebeu tanta crítica. Ah, casamento não é sinônimo de felicidade/realização. E eu casei, e bebo umas ainda haha",73,,2,diferenciacao_domestica,0,neutro,0,0
imma.lovely.bitch,imma.lovely.bitch,"No meu caso particular, gratamente não tenho sofrido por isso, porque maiormente foi nossa mãe q criou minha irmã, irmão e eu... pelo contrário durando o tempo que meu pai morou com nós, foi meu irmão q sofreu mais tratos e violência machista por parte do nosso pai, e isso marcou ele pra vida toda. Não estou negando a situação mais também gostaria de dizer que os homens sofrem muito também pelo jeito machista de criar.... espero minha experiência seja útil para alguém ❤️",2023-01-17T19:10:40Z,"Jan 17, 2023",121w,0,30,"No meu caso particular, gratamente não tenho sofrido por isso, porque maiormente foi nossa mãe q criou minha irmã, irmão e eu... pelo contrário durando o tempo que meu pai morou com nós, foi meu irmão q sofreu mais tratos e violência machista por parte do nosso pai, e isso marcou ele pra vida toda. Não estou negando a situação mais também gostaria de dizer que os homens sofrem muito também pelo jeito machista de criar.... espero minha experiência seja útil para alguém ❤️",84,,0,sem_categoria,-0.5,negativo,0.5,2
