usuario,perfilLink,textoComentario,timestamp,dataFormatada,tempoExibido,likes
monicasolua,monicasolua,"Sou a mais nova de 8 irmãos: somos 5 homens e 3 mulheres. Apesar de, até o dia que meu pai morreu minha mãe colocou o prato dele e viveu as várias situações do machismo dentro de casa, em relação às tarefas domésticas, minha mãe sempre teve o cuidado das meninas não viverem para servir os meninos. Foi tanto cuidado que eu e minhas duas irmãs temos menos habilidades domésticas desenvolvidas do que os meus 5 irmãos homens.Eles sabem cozinhar, nós não. Eles são mais atentos às suas casas, eu e as meninas, não. Achei interessante, pois, minha mãe foi muito atenta sobre a desigualdade de gênero e tentou proteger as meninas nesse sentido. Apesar dele ter hoje 79 anos, atuou diferente do esperado para uma mulher da sua época. Mas isso é uma excessão, sei disso.",2023-01-30T12:37:30.000Z,"Jan 30, 2023",119w,0
gimenezesoliver,gimenezesoliver,"Eu sei que muitas mulheres sofrem isso, mas graças a Deus eu tive irmãos maravilhosos, sempre fizeram de tudo por mim e me tratavam muito bem e é assim até hoje. Meus pais dividiam as tarefas e eles sempre ajudaram em casa sem achar que tal tarefa é de “mulher” ou de “homem”… há muito respeito entre nós até hoje. E eles são seres humanos incríveis! E vendo outros relatos, agradeço à Deus por ter tido uma família assim. 🙏",2023-01-28T13:50:49.000Z,"Jan 28, 2023",120w,1
vanessacardozopesquisa,vanessacardozopesquisa,"Em qualquer conflito c/ o meu irmão,minha mãe me implorava para ceder pelo bem da família.",2023-01-28T11:42:30.000Z,"Jan 28, 2023",120w,4
anamarcelall,anamarcelall,"Tive a sorte (sei que um pouco rara) de ter crescido entre dois irmãos e sempre ter sido validada por eles, que sempre me respeitaram e escutaram bastante até hoje todos adultos 😍",2023-01-22T15:13:11.000Z,"Jan 22, 2023",121w,0
thucaschmitz,thucaschmitz,@natanyschmitz,2023-01-21T12:10:34.000Z,"Jan 21, 2023",121w,0
iedaalmeidalmeida,iedaalmeidalmeida,"Cresci com meu irmão 4 anos mais novo que eu, na minha casa existia sim um “ machismo” meio que invisível, aquele que só minha mãe lavava passava e cozinhava, e meu naquele pape de provedor. Porém meu pai nunca me tratou com imposições machistas, entre eu e meu irmão não tinha brinquedos de menino e de menina, eu podia brincar na rua, jogar bola e etc… Inclusive ele começou a me ensinar a dirigir eu tinha 14 anos, andava com ele pra cima e p baixo. Já minha mãe, me obrigava a fazer os serviços da casa porque eu era menina, eu ficava brava porque meu irmão na fazia nada. Porém, entendo que essa foi a configuração na qual eles foram criados, mas eu nunca me senti minimizada nem prejudicada. Fui mãe aos 17 anos, fui muito bem acolhida na minha casa, fui sempre incentivada a trabalhar, estudar e ser independente e livre com minhas escolhas. Sou muito grata pela forma que fui criada, acredito que todos os erros que cometeram forma sempre na intenção de acertar. Me sinto privilegiada e não posso responsabiliza-lós por nenhum “trauma” graças a Deus!!!",2023-01-21T03:01:04.000Z,"Jan 21, 2023",121w,0
cairesjeffersonaguiar,cairesjeffersonaguiar,"Poxa, não vi machismo nos comentários, agora mulheres reclamando que as mães pedem pra elas fazerem tarefas domésticas e cuidando dos mais novos... isso é absolutamente normal... na minha casa a minha irmã foi a única que a minha mãe pagou escola particular, vejo as mulheres como privilegiadas, agora reclamar de tarefas domésticas não é na",2023-01-21T02:28:04.000Z,"Jan 20, 2023",121w,0
glaucienedossantoss,glaucienedossantoss,"Eu tenho dois irmãos, e desde que trabalho sempre meu irmão do meio quis controlar meu dinheiro, eu procuro não depender dos meus pais, mas de vez enquanto quando as coisas apertam eu peço ajuda, muitas das vezes não sou ajudada pq meus irmãos sempre estão devendo e demoram a pagar, e eu acabo que fico para depois, muitas das vezes a resposta de meu pai é um incentivo para conseguir sozinha as coisas, detalhe, construi uma casa nos fundos da casa dos meus pais que onde morei no primeiro casamento, depois logo consegui meu apartamento, maS no apartamento me sinto presa e sempre peço para voltar p casa e alugar aqui para da p meu pai, meu irmão se intromete, descobri que ele recebe esse aluguel, e muita das vezes não repassa para meu pai. Meus parentes sempre comentam se eu recebo esse aluguel, eu digo que não e não é justo pegar, não é minha a casa apenas construi para não pagar aluguel ma epoca.",2023-01-20T01:49:04.000Z,"Jan 19, 2023",121w,0
katcaxaria,katcaxaria,"Não tenho irmãos. Mas os meus verões eram passados na quinta dos avós , com 5 primos. Dado ser a única rapariga, a minha avó achava normal que eu tinha a responsabilidade de ajudar na cozinha. Então os meus primos podiam estar na rua a brincar e eu tinha que ficar a lavar a louça após o almoço. Não me lembro de eles terem alguma vez ajudado.",2023-01-18T23:08:33.000Z,"Jan 18, 2023",121w,0
anacavalcanticantora,anacavalcanticantora,Nossa!! Um soco no meu estômago. ...,2023-01-18T15:26:26.000Z,"Jan 18, 2023",121w,0
lucileneland,lucileneland,@anacavalcanticantora,2023-01-18T15:08:31.000Z,"Jan 18, 2023",121w,1
patypsm67,patypsm67,Nunca tive um lacinho no cabelo.,2023-01-18T14:41:35.000Z,"Jan 18, 2023",121w,0
patypsm67,patypsm67,"Eu recebia a menor mesada, sendo a segunda filha, a do meio. Porque era a mulher...",2023-01-18T14:40:52.000Z,"Jan 18, 2023",121w,0
patypsm67,patypsm67,Eu tinha que fazer com minha irmã mais nova as tarefas da escola dela. Mas quando ela não queria eu apanhava ou recebia outro tipo de agressão. Só hoje com a terapia eu entendi que minha mãe me delegou função dela.,2023-01-18T14:39:07.000Z,"Jan 18, 2023",121w,1
cccarvalho,cccarvalho,Sempre escutei “seu Irmao pode pq ele é homem”.Hoje tenho uma menina e deixo claro p ela que essa frase não significa NADA!!!!,2023-01-18T14:02:49.000Z,"Jan 18, 2023",121w,1
rachelneuronutri,rachelneuronutri,"Minha mae deixava um quadro com tarefas para todos. Tenho um irmao mais velho e uma irma mais nova. Havia um rodízio de tarefas,entao todos faziam tudo. Era justo!!",2023-01-18T10:14:13.000Z,"Jan 18, 2023",121w,1
gabymartins0209,gabymartins0209,"""Você é a moça da casa"" eu limpava e meus irmãos sujavam,e ainda falava q era só eu limpar de novo... Sofri demais,hj não tenho prazer em cuidar nem da minha casa,",2023-01-18T10:12:54.000Z,"Jan 18, 2023",121w,1
coutinho_re,coutinho_re,"Eu irmão podia chegar a hora da noite que quisesse, eu sempre tinha que chegar cedo. Meus pais alegaram só ter dinheiro para investir na educação do meu irmão, se eu quisesse fazer curso técnico ou faculdade eu teria que esperar ele se formar primeiro. A educação dele era prioridade, a minha era apenas se sobrasse dinheiro. Meu irmão podia tudo, falar palavrão, eu não, dormir fora de casa, eu não, ele podia escolher ser irresponsável, eu não podia nunca. Etc… etc.. etc…",2023-01-18T05:49:10.000Z,"Jan 18, 2023",121w,1
ide_valverde,ide_valverde,Eu nem quero comentar. É mexer em feridas passadas😢 fazia tudo sozinha e ainda apanhava.,2023-01-18T03:37:51.000Z,"Jan 18, 2023",121w,1
ayresbre_,ayresbre_,"Eu passei por coisas parecidas, mas para ser sincera eu gosto de arrumar e cuidar da casa desde pequena. Eu não gosto quando outra pessoa limpa, não acho que tá bem feito e que somente eu sei. Meus irmãos tentavam ajudar, mas só de olhar como seguravam a vassoura errada eu t",2023-01-18T03:07:42.000Z,"Jan 18, 2023",121w,0
giu_cardosopereira_,giu_cardosopereira_,"Uai, mas vc tinha irmão homem?",2023-01-18T02:42:06.000Z,"Jan 17, 2023",121w,0
giu_cardosopereira_,giu_cardosopereira_,"*A mesada do meu irmão era maior que a minha.*Ele podia trazer namoradas pra casa e inclusive trazer pra dormir em casa, eu não. *brincadeiras de lutinha, só com ele.",2023-01-18T02:41:01.000Z,"Jan 17, 2023",121w,0
julianabischoff04,julianabischoff04,"Com 10 anos tive que assumir a lavagem da louça e dos bainheiros. Nessa mesma época meu irmão foi tirado de fazer qualquer serviço doméstico, pq esse era trabalho de mulher. Com o passar dos anos só foi aumentando as responsabilidades doméstica pra mim, e meu irmão na folga. Até que com 14 a os meu irmã entro para um trabalho ( tipo o jovem aprendiz de hoje em dia). Adivinha quem que tinha que passa as camisas sociais dele… nessa altura do campeonato e com 12 de idade, eu tinha, ajudar a preparar o almoço, depois lavar, secar e guardar a louça, organizar a cozinha, limpar fogão, auxiliar na limpeza da casa, passar toda roupa da casa e ainda de brinde as camisas sociais do meu irmão. Que ficava de boa… com todos os privilégios de ter 2 mulheres fazendo todo esse serviço pra ele. Eu nunca ache justo essa desigualdade, reclamava com a minha mãe, e ainda era eu que estava errada.Quando chegou a minha vez de trabalhar fora, eu estava com 15 anos, eu era responsável por toda a faxina da casa, e por passar toda a roupa também, e cozinhar também. Sempre indignada, magoada, triste com esse machismo estrutural. Até hoje tenho raiva dessa injustiça que forçada a passa. Não hou conversa, simplesmente imposição=vc é mulher tem que fazer serviço de mulhe.",2023-01-18T02:40:24.000Z,"Jan 17, 2023",121w,0
geraldolimaajr,geraldolimaajr,😥,2023-01-18T01:33:30.000Z,"Jan 17, 2023",121w,0
ingryd_ferr25,ingryd_ferr25,"Já eu única filha no meio de três meninos, éramos bem pequenos e meus pais deixava-nos em casa sozinhos, meu irmão mais velho na época tinha 10 anos, e tínhamos que nos se vira, mas a maior responsabilidade sempre era minha, eu tinha que dá conta da casa sozinha, esquenta o almoço para nós almoça, eu chegava quase sempre na escola atrasada, porque além de fazer tudo sozinha era a última toma banho pra ir pra escola e meus irmãos nem ao luxo de me espera pra irmos juntos a escola fazia, minha mãe como sempre passava a mão e não pedia pra mim les fazerem nada, uma mágoa que sempre tive é que eu chegava da escola e corria pra finaliza as tarefas de casa e meus irmãos sujava mais e quando meus pais chegavam me chamava de preguiçosa, durante anos fiquei com mágoa deles, porque até hoje eles não reconhecem meus esforços desde cedo. Hoje sou casada com um homem maravilhoso que graças a Deus minha sogra educou, me ajuda em absolutamente tudo em casa, sem eu fica pedindo, pelo ou menos nisso Deus foi generoso comigo, mas não é fácil conviver nesse modelo de família. Hoje tenho dó das minhas cunhadas.",2023-01-18T01:31:44.000Z,"Jan 17, 2023",121w,1
biamyama,biamyama,"""Vc sempre foi mais independente. Ele precisava mais de apoio.""",2023-01-18T01:03:03.000Z,"Jan 17, 2023",121w,1
bahzema,bahzema,@barbarasismene,2023-01-17T22:35:18.000Z,"Jan 17, 2023",121w,0
crislaine.barboza,crislaine.barboza,"Eu sempre tive que fazer tarefas domésticas, sempre. Inclusive até arrumar a cama e armários do meu irmão. Sempre fui criticada quando bebia porque "" mulher que bebe não casa"". Trabalhava de dia, estudava a noite e tive várias discussões porque queria sair a noite, p uma balada ou barzinho. Nem de longe meu irmão recebeu tanta crítica. Ah, casamento não é sinônimo de felicidade/realização. E eu casei, e bebo umas ainda haha",2023-01-17T21:52:45.000Z,"Jan 17, 2023",121w,0
imma.lovely.bitch,imma.lovely.bitch,"No meu caso particular, gratamente não tenho sofrido por isso, porque maiormente foi nossa mãe q criou minha irmã, irmão e eu... pelo contrário durando o tempo que meu pai morou com nós, foi meu irmão q sofreu mais tratos e violência machista por parte do nosso pai, e isso marcou ele pra vida toda. Não estou negando a situação mais também gostaria de dizer que os homens sofrem muito também pelo jeito machista de criar.... espero minha experiência seja útil para alguém ❤️",2023-01-17T19:10:40.000Z,"Jan 17, 2023",121w,0
candice_thieres,candice_thieres,"Minha mae no auge se seus quase 80 anos disse na lata pra mim que estou abandonando minhas filhas, pois vou fazer um intercâmbio e elas irão ficar c o pai delas por um ano. Que responsabilidade de pai é diferente da mãe, ou seja, pai so da o dinheiro mãe faz todo o resto.",2023-01-17T18:19:03.000Z,"Jan 17, 2023",121w,1
emillifischer,emillifischer,"as tarefas domésticas eram todas minha e da minha irmã , enquanto meu irmão não fazia nada",2023-01-17T18:11:48.000Z,"Jan 17, 2023",121w,1
danisilveiragarrote,danisilveiragarrote,"Eu também tive uma experiência diferente! Meu irmão foi criado da mesma forma que eu e minha irmã e minha mãe sempre frisou que ele nunca fizesse com uma mulher o que não gostaria que fizessem com as irmãs! Tivemos uma criação amorosa, pelos meus pais que sempre quiseram que ficássemos nos estudos! Ajudar em casa nunca foi uma prioridade exclusiva das filhas, todos nós dividíamos tarefas e hoje na criação dos meus 3 meninos levo muito do que aprendi com meus pais pra eles❤️",2023-01-17T17:53:58.000Z,"Jan 17, 2023",121w,1
mari.gouvea,mari.gouvea,"Sou a primeira filha. Minha irmã nasceu pouco depois de mim e meu irmão só veio 7 anos depois. Meus pais diziam que tínhamos que aprender a fazer tarefas domésticas desde muito pequenas. Mas quando meu irmão atingiu a idade que tínhamos quando começamos a aprender a cuidar da casa, fomos entendendo que ele não era poupado por ser pequeno mas sim por ser homem. Isso se confirmou porque via também a sobrecarga da minha mãe mãe tarefas domésticas (Ela trabalhava fora como o meu pai mas ele não cuidava da casa). Foi assim que passei a me identificar como feminista. Eu e minha irmã começamos a nos rebelar e só fazíamos o que meu irmão fizesse também. Aprendi e ensinei muito a ele sobre igualdade de gênero e hoje ele é um homem feminista.",2023-01-17T16:44:17.000Z,"Jan 17, 2023",121w,5
thaissciota,thaissciota,"Eu tinha horário pra chegar em casa, meus irmãos, não. Eles ganharam um carro quando completaram 18 anos, eu, não. Eu lavava a louça, eles só deixavam os pratos na mesa. E por aí vai...",2023-01-17T16:30:09.000Z,"Jan 17, 2023",121w,1
vilsonpmartins,vilsonpmartins,"Segui o exemplo do meu pai e da minha mãe, os dois trabalhavam fora, em casa os dois faziam de tudo, e foi assim que ensinaram eu e meus irmãos, hoje sou casado, eu e minha esposa trabalhamos fora, eu faço de tudo, lavar louça, lavar roupa, almoço,janta etc... estou de férias cuidando do nosso bebê de 1 ano e meio e cuidando da casa. Sei que poucos são assim, e a maioria dos homens ainda acham que não é obrigação cuidar de casa e dos filhos da mesma forma que a mulher cuida, a maioria tem até preconceito em fazer e tiram onda com quem faz, porém eu tenho orgulho disso.",2023-01-17T16:30:06.000Z,"Jan 17, 2023",121w,0
fernandarainha_,fernandarainha_,"Segue meu relato: Sou filha de pais separados, fui criada pelo meu pai e mais 2 irmãos (1 mais velho e 1 mais novo) Éramos os 4 mosqueteiros e posso dizer que sou tão abençoada pela família que tenho (minha mãe tbm é presente).No meu ultimo aniversário meu pai postou: “Hoje é o dia dela, da número 02, mas não foi fraquejada não, pq ela é forte, trabalhadora, tem seus sonhos e busca seu espaço no mundo!”Sinto muito, pelas meninas que não tiveram a mesma criação, desde os Serviços de casa, que eram divididos pelos 3, a decisões de estudo, profissao, namoro etc.",2023-01-17T16:21:39.000Z,"Jan 17, 2023",121w,3
anaoliveiractba,anaoliveiractba,"Parabéns pela abordagem, muito necessária 🙏🏼. Daria um livro, mas se posso dizer algo foi sobre a inversão de papéis. No meu ponto de vista, minha mãe deixou meu irmão do meio ser meu pai por alguns anos... Terapia e uma busca constante por auto conhecimento tem me ajudado a suprrdr",2023-01-17T15:18:08.000Z,"Jan 17, 2023",121w,1
carolisfranca,carolisfranca,"Somos 3, eu a mais nova e única menina, um lavava, outro secava e outro guardava a louça e etc… obrigada aos meus pais por esse posicionamento, sei que fomos uma excessão.",2023-01-17T14:48:02.000Z,"Jan 17, 2023",121w,0
teonilia.ed,teonilia.ed,"Eu e as minhas irmãs graças a Deus não tivemos uma educação e/ou tratamento diferente. Foi smp mto legal, a gente brincava juntos de tudo, inclusive qdo a gente qria brincar de penteados e maquiagem, ""a modelo"" era o meu irmão mais velho q mesmo depois de já rapaz até vestido ele permitia q a gente escolhesse p.ele vestir... Nas demais brincadeiras era junto e misturado, p sair tbm e no tratamento dos irmãos c a gente, papai smp repeti p.eles nos respeitarem, a mãe era mais dura ainda... Ñ foi prefeito, mais ñ temos do q reclamar",2023-01-17T14:47:05.000Z,"Jan 17, 2023",121w,1
estermartins75,estermartins75,Eu e minhas irmãs tínhamos que limpar toda a casa e fazer todo o serviço e meus irmão nunca nem pegaram na vassoura! 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️,2023-01-17T14:31:00.000Z,"Jan 17, 2023",121w,1
gabsgblog,gabsgblog,"Aqui eu falo mesmo. Meus pais: 'Ai, ele é assim. Não quero briga.' Eu continuo falando. Cansei. Não calo mais minha voz.",2023-01-17T14:06:52.000Z,"Jan 17, 2023",121w,1
4nna_giselly,4nna_giselly,"Gente, eu sofro machismo pela minha mãe kkkkkkkkkkk.",2023-01-17T13:58:01.000Z,"Jan 17, 2023",121w,0
aceciliamontenegro,aceciliamontenegro,"Meus 3 irmãos tiraram CNH aos 18, pagas pelo meu pai. Eu tirei aos 20, porque meu avô pagou. Detalhe: meu pai alegava que era porque os 3 trabalharam na empresa dele. Mas eu também trabalhava, passava o dia indo em banco e resolver as coisas e pra ir à faculdade ele não deixava, alegando que eu era imatura pra dirigir só. 😢",2023-01-17T13:39:04.000Z,"Jan 17, 2023",121w,1
jamila.souzasanto,jamila.souzasanto,"Eu trabalhava de 7 as 13 e estuda há 120 km de casa, saia as 16 e chegava 1 da manhã. Acordava às 5:00 e era um looping eterno de privação de sono. Só dormia aos domingos. Um belo domingo meu pai me acordou as 5:40 p passar o uniforme do meu irmão p ele ir trabalhar. Gritei e apanhei. Hoje a realidade mudou… mas as marcas ficaram",2023-01-17T13:38:55.000Z,"Jan 17, 2023",121w,0
amandaavincenzo,amandaavincenzo,"Meu irmão SEMPRE me agredia, eu não revidava só pedia pra ele parar. Minh mae dizia: ""se vc falar para mais uma vez, quem vai te bater sou eu."" Meu pai desde pequeno incentivava meu irmão a ""pegar garotinhas"" e comigo, até depois de adulta tentava impedir meus relacionamentos, não só impedir mas ainda dizer: ""ngm vai te querer.""",2023-01-17T13:37:10.000Z,"Jan 17, 2023",121w,0
_carolbragga,_carolbragga,"Eu só fui sair (dar rolê) depois dos 20, quando casei com o meu marido. Antes disso nem na esquina podia ir. Meus irmãos beeeeeeeem antes dos 18 saiam e passavam até a noite fora 🙂",2023-01-17T12:56:06.000Z,"Jan 17, 2023",121w,1
denise.porciuncula,denise.porciuncula,@bruno_farias_psicologo olha os coments,2023-01-17T12:41:41.000Z,"Jan 17, 2023",121w,0
camilaatenorio,camilaatenorio,Fiquei em recuperação na escola e como “castigo” não pude ir para um carnaval fora de época. Meu irmão perdeu o ano e pode ir tranquilamente “porque é homem”. Eu tinha carteira de motorista mas não tinha prática e por isso não podia sair com o carro. Ele não tinha carteira e saíra tranquilamente “porque é homem” … vixe são tantas histórias …,2023-01-17T12:33:13.000Z,"Jan 17, 2023",121w,1
natalianapoleaoferreira,natalianapoleaoferreira,"Uma vez minha mãe fez uma planilha com o q cada uma ia fazer em casa (nós somos em 4, três mulheres e 1 homem), e o nome do meu irmão não estava, perguntamos o pq?, ela respondeu q pq ele era homem ele não ia fazer.",2023-01-17T12:07:34.000Z,"Jan 17, 2023",121w,1
simonealvesdoula,simonealvesdoula,@vilmaartesanatosms olha os comentários,2023-01-17T12:01:54.000Z,"Jan 17, 2023",121w,0
savinooana,savinooana,"Meu irmão smp entrou e saiu s hora que quis de casa, eu smp tinha que justificar aonde e com quem iria, msm nossa idade sendo próxima e eu já maior de idade. Smp senti a obrigação de arrumar a casa, meu irmão nunca ajudou em casa, fora que eu pagava metade da água e luz enquanto meu irmão não dava um real. Mas um dia meu irmão fez um favor mínimo, é aquele favor foi usado pelo resto da vida. Qual o favor? Cortou as unhas do meu pai. É isso, tem explicações que não adianta se cobrar, cada um vë o que quer.",2023-01-17T11:52:34.000Z,"Jan 17, 2023",121w,1
athalitalimaa,athalitalimaa,"Eu tinha que acordar meu irmão para ir à escola, arrumar a cama dele e preparar o café, porque ele, como homem, não poderia fazer sozinho. Na volta, eu ficava com a casa e ele com o quintal. Crescemos e só piorou. Já na faculdade, voltava tarde da noite e quem me buscava no ponto era a minha mãe. Hoje, ele tem 30 anos e adivinha quem vai levá-lo no ponto às 5h da manhã? Meu pai! Eu estava casada, longe dessa maluquice e buscando não repetir os erros com meus filhos.",2023-01-17T11:50:10.000Z,"Jan 17, 2023",121w,1
anonnarf,anonnarf,Essencial. Para que este lugar-comum não seja levado e aceito nos relacionamentos afetivos de cônjuge e com os filhos. Obrigada!,2023-01-17T11:45:22.000Z,"Jan 17, 2023",121w,0
debora_souzaribeiroimoveis,debora_souzaribeiroimoveis,"Eu tinha que lavar a roupa de todos, mesmo que eles estivessem em casa sem fazer absolutamente nada.",2023-01-17T11:39:27.000Z,"Jan 17, 2023",121w,0
mayaraietto,mayaraietto,"""A mãe é a primeira mulher que nos trai""",2023-01-17T11:34:15.000Z,"Jan 17, 2023",121w,0
pattyneves.stylus,pattyneves.stylus,"Só tenho um irmão homem e numa tive problema com isso, nunca fui tratada com machismo e sou a irmã mais velha! Aqui sempre fomos tratados como igual principalmente no amor 😽 amo minha família e crio meus filhos da mesma forma. E graças a Deus não tenho esse tipo de frescura de patriarcado.",2023-01-17T11:03:32.000Z,"Jan 17, 2023",121w,0
registroakastico,registroakastico,"Meu pai descendente de libanês queria um filho homem e eu nasci mulher , ele me rejeitou e rejeitou a minha mãe que me pariu arrumou uma amante e eu e minha mãe fomos embora de casa ele ficou com a casa ...minha mãe teve problemas psicológicos fortes e nunca mais voltou ao normal se matou de tanto beber e fumar pq naquela época não tinha psicólogo nem nada ... eu criada pela minha vó materna cresci com feridas muito fortes sumi no mundo pra procurar alívio...enfim até hoje não conheço meu pai ( médico e rico) passo dificuldades na vida sendo que meu pai tem dinheiro mas não gosta de filha mulher .",2023-01-17T11:02:46.000Z,"Jan 17, 2023",121w,1
daniguisolfi.personal,daniguisolfi.personal,"Arrumar a casa toda enquanto o irmão dormia até tarde com a namorada no quarto. Ah, detalhe comigo nem pensar em namoradinho, uma vez apanhei por conta de uma cartinha. Meu irmão ligava o carro do meu pai e ficava acelerando eu nunca nem virei a chave. Mas hoje dirijo o meu 😙 e por aí vai",2023-01-17T10:56:57.000Z,"Jan 17, 2023",121w,0
mineiagrein,mineiagrein,"Eu só podia trabalhar, limpar a casa cuidar dos irmãos mais novos, enquanto meus irmãos não precisam fazer nenhum tarefa doméstica, mas não podia sair para ir em bailes ou festas para não cair na boca do povo.",2023-01-17T10:54:13.000Z,"Jan 17, 2023",121w,0
dipsleite,dipsleite,"era a sombra do meu pai quando ele trabalhava usando ferramentas. ele mal respondia minhas perguntas e não me deixava experimentar nada. nunca esqueci o dia que meu irmão ganhou uma caixa de ferramentas, que nunca usou pra nada e eu fiquei só com a inveja.",2023-01-17T10:46:24.000Z,"Jan 17, 2023",121w,0
